redpanda_metric_name,datadog_metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
redpanda_debug_bundle_successful_generation_count,redpanda.debug_bundle.successful_generation_count,count,,,,"Running count of successfully generated debug bundles, reported per shard.",,redpanda,,
redpanda_iceberg_rest_client_active_gets,redpanda.iceberg.rest_client_active_gets,gauge,,,,Number of active GET requests.,-1,redpanda,active GET requests,
redpanda_iceberg_rest_client_active_puts,redpanda.iceberg.rest_client_active_puts,gauge,,,,Number of active PUT requests.,-1,redpanda,active PUT requests,
redpanda_iceberg_rest_client_active_requests,redpanda.iceberg.rest_client_active_requests,gauge,,,,Number of active HTTP requests (includes PUT and GET).,-1,redpanda,active HTTP requests,
redpanda_iceberg_rest_client_num_commit_table_update_requests,redpanda.iceberg.rest_client_num_commit_table_update_requests,count,,,,Number of requests sent to the commit_table_update endpoint.,,redpanda,,
redpanda_iceberg_rest_client_num_commit_table_update_requests_failed,redpanda.iceberg.rest_client_num_commit_table_update_requests_failed,count,,,,Number of requests sent to the commit_table_update endpoint that failed.,,redpanda,,
redpanda_iceberg_rest_client_num_create_namespace_requests,redpanda.iceberg.rest_client_num_create_namespace_requests,count,,,,Number of requests sent to the create_namespace endpoint.,,redpanda,,
redpanda_iceberg_rest_client_num_create_namespace_requests_failed,redpanda.iceberg.rest_client_num_create_namespace_requests_failed,count,,,,Number of requests sent to the create_namespace endpoint that failed.,,redpanda,,
redpanda_iceberg_rest_client_num_create_table_requests,redpanda.iceberg.rest_client_num_create_table_requests,count,,,,Number of requests sent to the create_table endpoint.,,redpanda,,
redpanda_iceberg_rest_client_num_create_table_requests_failed,redpanda.iceberg.rest_client_num_create_table_requests_failed,count,,,,Number of requests sent to the create_table endpoint that failed.,,redpanda,,
redpanda_iceberg_rest_client_num_drop_table_requests,redpanda.iceberg.rest_client_num_drop_table_requests,count,,,,Number of requests sent to the drop_table endpoint.,,redpanda,,
redpanda_iceberg_rest_client_num_drop_table_requests_failed,redpanda.iceberg.rest_client_num_drop_table_requests_failed,count,,,,Number of requests sent to the drop_table endpoint that failed.,,redpanda,,
redpanda_iceberg_rest_client_num_get_config_requests,redpanda.iceberg.rest_client_num_get_config_requests,count,,,,Number of requests sent to the config endpoint.,,redpanda,,
redpanda_iceberg_rest_client_num_get_config_requests_failed,redpanda.iceberg.rest_client_num_get_config_requests_failed,count,,,,Number of requests sent to the config endpoint that failed.,,redpanda,,
